GAGE_USGS
01411435
01411456
01411500
01412150
01412800
01413038
01413088
01413398
01413408
01413500
01414000
01414500
01415000
01415460
01417000
01417500
01420500
01421000
01421610
01421614
01421618
01421900
01422389
01422500
01422738
01422747
01423000
0142400103
01425000
01426000
01426500
01427207
01427500
01427510
01428500
01428750
01428900
01429000
01429400
01429500
01430000
01431500
01431700
01432000
01432110
01432160
01432900
01434000
0143400680
01434017
01434021
01434025
01434498
01435000
01436000
01436690
01437500
01438500
01439500
01439590
01439800
01440000
01440200
01440400
01440485
01441495
01442500
01443280
01443500
01443900
01445000
01445500
01446000
01446500
01446995
01447500
01447680
01447720
01447780
01447800
01449000
01449360
01449790
01449800
01450500
01451000
01451500
01451650
01451800
01452000
01452500
01453000
01454700
01455400
01455500
01457000
01457500
01458500
01459500
01460440
01460880
01461300
01461500
01462000
01462500
01463500
01463620
01463740
01464000
01464500
01464645
01464720
01464750
01464907
01465200
01465500
01465798
01465850
01465880
01466500
01466900
01467000
01467005
01467042
01467048
01467081
01467086
01467087
01467150
01468500
01469500
01470500
01470779
01470870
01470960
01471000
01471510
01471875
01472000
01472157
01472198
01472199
01472620
01472810
01473000
01473169
01473500
01473900
01474000
01474500
01475000
01475530
01475548
01475850
01476480
01477000
01477120
01477800
01478000
01478120
01478245
01478650
01479000
01479820
01480000
01480015
01480065
01480120
01480300
01480399
01480400
01480500
01480617
01480638
01480675
01480685
01480700
01480870
01481000
01481500
01481602
01482500
01483155
01483200
01483700
01484085
