station
USGS-01455300
USGS-01464040
USGS-01464598
USGS-01483050
USGS-01455300
USGS-01419500
USGS-01424997
USGS-01427500
USGS-01428000
USGS-01435800
USGS-01427200
USGS-01432500
USGS-01467200
USGS-01471875
USGS-01475510
USGS-00147800
USGS-01478650
USGS-01479000
USGS-01480000
USGS-01438500
USGS-01446500
USGS-01457500
USGS-01458500
USGS-01462000
USGS-01463500
USGS-01413500
USGS-01420500
USGS-01421000
USGS-01423000
USGS-01426500
USGS-01427207
USGS-01427510
USGS-01428500
USGS-01432160
USGS-01433500
USGS-01434000
USGS-01437500
USGS-01431500
USGS-01465500
USGS-01467087
USGS-01473000
USGS-01474500
USGS-01481000
USGS-01470500
