HUC12,MEAN1992,MEAN1993,MEAN1994,MEAN1995,MEAN1996,MEAN1997,MEAN1998,MEAN1999,MEAN2000,MEAN2001,MEAN2002,MEAN2003,MEAN2004,MEAN2005,MEAN2006,MEAN2007,MEAN2008,MEAN2009,MEAN2010,MEAN2011,MEAN2012,MEAN2013,MEAN2014,MEAN2015
20301050102,20859.30733,35807.93811,55614.07497,25996.22219,37613.38448,31346.59779,6168.510585,7020.58145,16129.33556,7488.620156,5637.826955,19854.44327,10062.2334,11432.26652,10006.30842,16693.13546,12811.17215,15748.1211,16153.21742,15140.47633,5076.36409,19178.78155,28407.38188,127276.209
20301050103,16282.53173,27951.25824,43411.69752,20292.34735,29360.5686,23150.00515,4555.551851,5184.821001,11911.79348,5530.475643,4163.632862,14662.85012,7431.133647,8442.926933,7389.831994,11689.73443,8971.304454,11027.96755,11311.64499,10602.45081,3554.835363,13430.36271,19892.89287,89127.96
20301050104,11546.62213,19821.4025,30785.04472,14390.14944,20820.80339,16423.08451,3231.801174,3678.217513,8450.468575,3923.431924,2953.765844,10402.12417,5271.797386,5989.584106,5242.497123,8660.198546,6646.282563,8169.936728,8380.095743,7854.697655,2633.556858,9949.722076,14737.40965,66029.37431
20301050105,20966.43774,35991.84271,55899.70165,26129.73503,37806.56123,28792.34081,5665.873511,6448.514042,14815.04715,6878.414802,5178.432327,18236.61694,9242.318992,10500.71584,9190.950899,14898.42638,11433.81992,14055.01234,14416.55582,13512.69644,4530.595055,17116.83621,25353.25331,113592.5156
20301050106,17165.93498,29467.74391,45766.98393,21393.30162,30953.51611,23729.9025,4669.666412,5314.698433,12210.17868,5669.011609,4267.929975,15030.14802,7617.280222,8654.418474,7574.943987,14108.14108,10827.31429,13309.46585,13651.83136,12795.917,4290.270156,16208.87561,24008.39291,107567.0141
20301050107,13346.22415,22910.67279,35583.056,16632.93011,24065.83534,17425.15232,3428.992156,3902.646927,8966.080876,4162.823332,3133.992285,11036.81823,5593.460314,6355.043506,5562.372336,8834.959781,6780.40332,8334.804477,8549.204552,8013.204026,2686.70154,10150.50557,15034.80772,67361.83438
20301050108,17670.39101,30333.71409,47111.94073,22021.9877,31863.14848,25464.46059,5010.999851,5703.181004,13102.6925,6083.392979,4579.898093,16128.78998,8174.071967,9287.020787,8128.64125,13467.78465,10335.87177,12705.36061,13032.18643,12215.12132,4095.538463,15473.16863,22918.67257,102684.6396
20301050201,20791.56914,35691.65596,55433.47524,25911.80239,37491.23954,28940.24306,5694.978317,6481.639119,14891.15003,6913.748234,5205.033228,18330.29592,9289.795459,10554.65652,9238.163553,14741.9601,11313.73968,13907.40371,14265.15017,13370.7833,4483.013815,16937.0717,25086.98823,112399.5435
20301050301,10062.16074,17273.11544,26827.24515,12540.1173,18144.03098,13241.38018,2605.69252,2965.622933,6813.328373,3163.331123,2381.521992,8386.882598,4250.472746,4829.200114,4226.848975,6643.629155,5098.663313,6267.52716,6428.749683,6025.693072,2020.320308,7632.880808,11305.73199,50654.11284
20301050302,23129.69099,39705.37082,61667.2616,28825.72151,41707.32689,31336.92234,6166.606585,7018.414531,16124.35698,7486.308639,5636.086814,19848.31489,10059.12769,11428.73796,10003.21985,15299.24321,11741.4274,14433.13851,14804.40865,13876.23252,4652.482996,17577.33566,26035.33953,116648.5291
20301050303,27272.38209,46816.88391,72712.30447,33988.61194,49177.40424,39685.78916,7809.530455,8888.27926,20420.25153,9480.831107,7137.668184,25136.3564,12739.10741,14473.61299,12668.30458,20494.8661,15728.81624,19334.63238,19831.98571,18588.60089,6232.46618,23546.59863,34876.9407,156262.3684
20301050304,24720.36277,42435.98358,65908.23496,30808.12001,44575.61787,45538.92093,8961.333469,10199.18354,23431.96993,10879.129,8190.38028,28843.638,14617.95782,16608.28033,14536.71269,24708.27769,18962.40525,23309.51853,23909.12007,22410.11539,7513.760017,28387.39661,42047.07272,188387.3724
20301050307,18968.35093,32561.84522,50572.49883,23639.58964,34203.62256,28653.95002,5638.640451,6417.519112,14743.83857,6845.353604,5153.542112,18148.96259,9197.895614,10450.24405,9146.774502,16785.66311,12882.18264,15835.41085,16242.75232,15224.39778,5104.501678,19285.08687,28564.84027,127981.6847
20401010101,33291.73549,41187.99877,51356.86425,37044.99701,47324.20058,45352.61024,34760.24809,39678.13,53455.40648,46332.58019,33448.81087,39224.17515,46393.82817,51862.94724,34817.89172,72016.79009,66154.95559,48369.74098,45041.14695,50853.92827,28797.60221,50556.10826,56733.27874,59711.49379
20401010102,24932.67288,30846.30063,38461.91437,27743.54437,35441.79227,33565.97568,25726.45007,29366.229,39562.94763,34291.26328,24755.84006,29030.25204,34336.59348,38384.35052,25769.11307,54147.11963,49739.79449,36367.66064,33864.99573,38235.44162,21651.99561,38011.51917,42655.93701,44895.16092
20401010103,22750.94284,28147.09967,35096.31072,25315.85038,32340.46387,30205.50009,23150.83277,26426.21348,35602.08168,30858.17498,22277.39613,26123.87317,30898.96712,34541.48011,23189.22443,48282.96538,44352.95526,32429.02847,30197.40394,34094.52799,19307.07585,33894.8573,38036.28202,40032.99728
20401010104,24571.55499,30399.53135,37904.84258,27341.71472,34928.46336,32674.62926,25043.28284,28586.40703,38512.35127,33380.65683,24098.44727,28259.35188,33424.78344,37365.05198,25084.81283,53362.37912,49018.92833,35840.59321,33374.19868,37681.30493,21338.19868,37460.62782,42037.73513,44244.50648
20401010105,24756.37482,30628.18735,38189.95188,27547.37101,35191.18489,33799.4613,25905.40402,29570.5011,39838.14827,34529.79419,24928.04242,29232.18713,34575.43986,38651.35276,25948.36379,54433.87521,50003.20967,36560.25825,34044.33973,38437.93085,21766.66132,38212.82304,42881.83638,45132.91881
20401010106,32282.51946,39939.41196,49800.01571,35922.00183,45889.59876,43273.97964,33167.09434,37859.57572,51005.4051,44209.03627,31915.76301,37426.4268,44267.47714,49485.93227,33222.09654,69894.2536,64205.18481,46944.14944,43713.65629,49355.12083,27948.85623,49066.07756,55061.19023,57951.62808
20401010201,27892.03665,34507.578,43027.1217,31036.54355,39648.52874,37206.07896,28516.38644,32550.88568,43853.39879,38010.02072,27440.51758,32178.47324,38060.26705,42546.98724,28563.67565,60170.26116,55272.67933,40413.07488,37632.02283,42488.62147,24060.48955,42239.79129,47400.83766,49889.14517
20401010202,28125.19144,34796.03373,43386.79382,31295.9844,39979.95856,37732.56283,28919.9068,33011.49617,44473.94471,38547.88033,27828.81413,32633.81413,38598.83744,43149.0471,28967.86498,61330.51713,56338.49554,41192.35527,38357.67728,43307.9245,24524.44511,43054.29667,48314.86228,50851.15202
20401010203,30507.17065,37742.98041,47061.30917,33946.50484,43365.94196,40447.15634,31000.49115,35386.4422,47673.53314,41321.13,29830.90211,34981.58844,41375.75299,46253.31827,31051.89951,64976.5437,59687.75244,43641.19202,40637.99609,45882.5293,25982.39447,45613.82361,51187.12366,53874.19324
20401010204,34133.66406,42229.61944,52655.6497,37981.84335,48521.00159,45940.70101,35210.98676,40192.6393,54148.56713,46933.37818,33882.5439,39732.7982,46995.42009,52535.45789,35269.37778,72781.3897,66857.32071,48883.28099,45519.34733,51393.84269,29103.34547,51092.8607,57335.61414,60345.44889
20401010205,33159.55811,41024.4714,51152.96445,36897.91859,47136.31091,44099.46854,33799.78502,38581.77992,51978.37515,45052.36042,32524.58401,38140.36869,45111.91594,50429.91745,33855.83539,70429.58018,64696.93629,47303.69846,44048.46487,49733.13578,28162.91882,49441.87954,55482.90849,58395.48504
20401041001,16750.47892,28754.55551,44659.31507,20875.53331,30204.36819,22348.9557,4397.918069,5005.412964,11499.61546,5339.107078,4019.560425,14155.4784,7173.997359,8150.780085,7134.124922,10725.04803,8230.95439,10117.89262,10378.15998,9727.491322,3261.475198,12322.032,18251.24578,81772.73793
20401041002,13028.66803,22365.54264,34736.40295,16237.17088,23493.21973,16719.11621,3290.055516,3744.518659,8602.791481,3994.153204,3007.00844,10589.62628,5366.82337,6097.548532,5336.994954,8114.71882,6227.653262,7655.336728,7852.258615,7359.953741,2467.676979,9323.018985,13809.14376,61870.37863
20401041003,12134.95063,20831.35097,32353.61691,15123.36224,21881.67342,15557.66901,3061.501215,3484.393657,8005.17108,3716.686558,2798.116881,9853.983989,4993.999773,5673.962754,4966.243448,7451.799191,5718.894554,7029.945471,7210.780137,6758.693337,2266.083814,8561.389058,12681.02625,56815.96984
20401050101,22137.40119,38001.96589,59021.6665,27589.0654,39918.03578,30778.83779,6056.78439,6893.422363,15837.19586,7352.983713,5535.712702,19494.83326,9879.982913,11225.20157,9825.070746,16383.28321,12573.37559,15455.80964,15853.38672,14859.44357,4982.13824,18822.79127,27880.09244,124913.7464
20401050102,22071.46654,37888.77976,58845.87479,27506.89327,39799.14265,29569.68601,5818.8427,6622.613183,15215.02922,7064.120649,5318.24133,18728.9758,9491.846234,10784.21789,9439.091344,14912.29922,11444.46668,14068.09941,14429.97979,13525.27848,4534.813615,17132.77451,25376.85972,113698.2817
20401050103,18288.63143,31395.01066,48760.26244,22792.47854,32977.95599,24725.754,4865.634117,5537.735686,12722.59272,5906.918002,4447.038324,15660.90521,7936.947821,9017.610817,7892.83491,11967.59594,9184.549687,11290.09876,11580.51927,10854.46755,3639.332632,13749.59822,20365.73976,91246.50004
20401050104,21246.47162,36472.55943,56646.31248,26478.73087,38311.51636,27697.66484,5450.458761,6203.343488,14251.7839,6616.89963,4981.549884,17543.26673,8890.92883,10101.48192,8841.513828,14191.20371,10891.06087,13387.82596,13732.20734,12871.25357,4315.529342,16304.30622,24149.74281,108200.3173
20401050201,21275.40433,36522.22739,56723.45248,26514.78923,38363.68811,29701.45749,5844.773187,6652.125513,15282.83184,7095.600421,5341.941032,18812.43743,9534.144657,10832.27543,9481.15478,15195.52425,11661.82816,14335.29087,14704.04444,13782.16039,4620.942116,17458.17225,25858.8353,115857.7222
20401050202,19765.69439,33930.59734,52698.33698,24633.29051,35641.38746,27204.00445,5353.314286,6092.780201,13997.7718,6498.965474,4892.762877,17230.58993,8732.464223,9921.441475,8683.929983,13794.11732,10586.3162,13013.21888,13347.9642,12511.10097,4194.775796,15848.09285,23474.00504,105172.7461
20401050203,16129.0085,27687.71366,43002.38108,20101.0164,29083.73644,20893.19209,4111.447073,4679.371011,10750.55446,4991.328968,3757.734887,13233.42021,6706.698484,7619.855621,6669.423174,10327.41679,7925.791743,9742.77207,9993.389848,9366.844824,3140.55606,11865.19286,17574.58199,78741.01875
20401050204,16038.41732,27532.20173,42760.85182,19988.11627,28920.3831,22285.60216,4385.451144,4991.223825,11467.01654,5323.972008,4008.166053,14115.35084,7153.66095,8127.674649,7113.901455,11349.25665,8710.004279,10706.76463,10982.17967,10293.64152,3451.296439,13039.18706,19313.48817,86532.00045
20401050401,19428.2423,33351.31305,51798.63811,24212.73576,35032.89547,26944.95879,5302.338286,6034.762728,13864.48004,6437.080179,4846.172383,17066.51435,8649.310767,9826.966277,8601.238596,13593.8874,10432.64967,12824.32486,13154.21074,12329.49501,4133.88619,15618.04845,23133.26712,103646.1072
20401050402,14333.72056,24605.84944,38215.8715,17863.61236,25846.48348,22056.77979,4340.42258,4939.97541,11349.27639,5269.307024,3967.011367,13970.41841,7080.209131,8044.22203,7040.857973,11374.47726,8729.359852,10730.55737,11006.58455,10316.51631,3458.966021,13068.163,19356.4069,86724.29297
20401050501,40290.35175,69164.06147,107420.1842,50212.45034,72651.33316,54273.19132,10680.09854,12155.36561,27926.17319,12965.72322,9761.27807,34375.78805,17421.65187,19793.71377,17324.82395,27447.68034,21064.76401,25893.84058,26559.92017,24894.7211,8346.809247,31534.70246,46708.82308,209273.8427
20401050502,23771.33342,40806.84063,63377.97768,29625.37782,42864.33313,33317.10974,6556.275922,7461.909764,17143.25925,7959.370298,5992.232379,21102.53488,10694.76626,12150.92262,10635.32567,17635.70198,13534.5462,16637.32762,17065.2976,15995.37269,5362.997424,20261.69807,30011.38408,134462.7679
20401050503,19149.80034,32873.32826,51056.26986,23865.72346,34530.81077,26011.38543,5118.62588,5825.673719,13384.11157,6214.051837,4678.26498,16475.20346,8349.634407,9486.487034,8303.22791,13235.26336,10157.42294,12486.00254,12807.18581,12004.22727,4024.828997,15206.02446,22522.9817,100911.7892
20401050504,15369.21129,26383.41501,40976.64673,19154.10798,27713.6742,21239.56422,4179.607579,4756.946602,10928.77958,5074.076335,3820.031434,13452.80691,6817.883561,7746.179183,6779.990361,11255.58027,8638.112223,10618.39136,10891.53309,10208.67812,3422.809568,12931.56201,19154.07531,85817.76795
20401050801,12227.04301,20989.44089,32599.14998,15238.13423,22047.73437,19322.84273,3802.427353,4327.665575,9942.534028,4616.176561,3475.300414,12238.78558,6202.61747,7047.140967,6168.143855,10727.14927,8232.567008,10119.87527,10380.19357,9729.397488,3262.11428,12324.44635,18254.82281,81788.76445
20401050802,38997.02992,66943.89242,103971.9938,48600.62909,70319.2231,55088.16272,10840.47191,12337.89189,28345.51498,13160.41776,9907.854408,34891.97787,17683.25733,20090.93821,17584.97523,29010.86208,22264.43016,27368.52938,28072.54233,26312.50845,8822.171094,33330.64573,49368.95419,221192.2699
20401050803,56734.60936,97392.94569,151263.0696,70706.35156,102303.5253,75988.40852,14953.3071,17018.84244,39099.69882,18153.43179,13666.85783,48129.86559,24392.21955,27713.36604,24256.6498,37197.0232,28546.9118,35091.26356,35993.93231,33737.2596,11311.57358,42735.74463,63299.67386,283607.3557
20401050901,12485.64435,21433.36663,33288.62035,15560.42002,22514.04296,17127.2402,3370.367802,3835.924574,8812.790666,4091.652892,3080.411405,10848.12532,5497.830713,6246.393346,5467.27425,8785.16531,6742.188482,8287.828912,8501.020584,7968.041021,2671.559087,10093.29661,14950.07046,66982.17817
20402050102,16147.99286,29877.84557,41753.48066,29505.0922,43454.77836,27652.1658,18275.79874,35123.35653,43228.74628,35912.2395,35742.08784,45358.21428,47461.90455,52911.90324,24476.00917,58800.40862,57238.08664,47118.16976,53675.57493,51194.24771,28651.48211,55713.60942,62476.44785,72628.80456
20402050103,9557.953503,17684.61649,24713.77268,17463.98467,25720.76633,19299.27588,12755.22806,24513.6437,30170.63865,25064.22887,24945.47513,31656.85825,33125.08655,36928.80432,17082.54075,42144.77646,41024.99307,33771.61433,38471.58812,36693.11467,20535.74669,39932.33482,44779.5517,52056.18144
20402050104,17660.23122,32675.86663,45663.63951,32268.20572,47524.26166,31338.14213,20711.92487,39805.22675,48991.04864,40699.26666,40506.43425,51404.37087,53788.47818,59964.9502,27738.61044,64834.34758,63111.7041,51953.30867,59183.61726,56447.66279,31591.6197,61430.78914,68887.61185,80081.77622
20402050105,15601.71499,28867.09448,40340.98297,28506.9509,41984.72709,27665.32891,18284.49841,35140.07518,43249.32358,35929.33405,35759.10119,45379.80563,47484.49698,52937.08962,24487.65957,59541.74788,57959.72838,47712.22237,54352.30181,51839.69086,29012.71196,56416.03142,63264.13336,73544.48864
20402050201,18571.13862,34361.27502,48018.9511,33932.5865,49975.54338,31612.65129,20893.35273,40153.90328,49420.18915,41055.77434,40861.25282,51854.65069,54259.64265,60490.21747,27981.58875,67039.59863,65258.3611,53720.42841,61196.66504,58367.65152,32666.16448,63520.27216,71230.72919,82805.64581
20402050202,9797.209507,18127.30039,25332.41125,17901.14567,26364.61231,18210.61634,12035.71397,23130.845,28468.73244,23650.3722,23538.31711,29871.11538,31256.52208,34845.6745,16118.92579,40976.48413,39887.74204,32835.4337,37405.11984,35675.94729,19966.47667,38825.37334,43538.22097,50613.13557
20402050203,7104.400279,13144.92656,18369.67871,12980.93151,19118.17433,11151.5044,7370.223864,14164.46958,17433.19335,14482.60857,14413.99046,18291.96073,19140.33183,21338.19573,9870.630898,24342.86426,23696.07619,19506.51753,22221.22696,21193.97908,11861.46734,23064.95571,25864.71318,30067.70157
20402050204,10244.62181,18955.12578,26489.2749,18718.64305,27568.61342,16279.42173,10759.35382,20677.87142,25449.68795,21142.3038,21042.13219,26703.35169,27941.8389,31150.36986,14409.55038,33895.98874,32995.37483,27161.66389,30941.73509,29511.35343,16516.38692,32116.57715,36015.07278,41867.48374
20402050205,8653.903982,16011.89767,22376.19355,15812.13477,23287.93952,13841.91594,9148.363636,17581.78888,21639.12491,17976.68219,17891.50895,22705.07831,23758.12749,26486.24786,12252.01892,30332.85711,29526.91564,24306.44185,27689.1536,26409.13313,14780.1916,28740.49679,32229.18366,37466.39201
20402050301,6476.028256,11982.28004,16744.91209,11832.7902,17427.20443,10915.25659,7214.083525,13864.39124,17063.86623,14175.79048,14108.62583,17904.44019,18734.83865,20886.13981,9661.518828,25700.24256,25017.38942,20594.21754,23460.30072,22375.77289,12522.8726,24351.07715,27306.94997,31744.30167
20402050302,5121.546906,9476.149148,13242.66186,9357.92552,13782.25084,9561.471688,6319.343401,12144.83439,14947.48846,12417.61169,12358.77721,15683.80873,16411.21554,18295.69742,8463.231036,21378.32373,20810.30347,17130.96083,19515.06435,18612.91811,10416.94524,20256.04259,22714.83639,26405.97461
20402050304,8789.049384,16661.3145,23321.9557,16236.61189,24139.16812,14275.13899,9457.309287,18145.01852,22298.50053,18512.89378,18411.8896,23351.37437,24458.44077,27314.8796,12667.45862,30657.0687,29768.29409,24499.40282,27913.17364,26591.05423,14892.35,28936.88497,32592.19602,39393.81898
20402050305,9037.246414,16887.35133,23617.31101,16576.27856,24518.0213,15844.17546,10482.16459,20131.02692,24760.98628,20564.81181,20461.22293,25959.63105,27174.75561,30317.38009,14039.10111,34590.01603,33636.60141,27686.86138,31541.97036,30069.14552,16833.35072,32722.87283,36761.0678,43431.65894
20402050401,10284.56694,19029.03386,26592.55971,18791.62935,27676.10692,22109.46434,14612.53066,28083.10166,34563.81779,28713.85851,28577.81266,36266.44765,37948.46633,42306.0473,19569.94805,46939.48036,45692.30199,37613.72491,42848.40225,40867.59661,22872.04618,44475.33491,49874.00699,57978.47995
20402050307,4139.657358,15468.03405,22621.79351,9569.689724,20042.24171,3833.399316,3128.755912,5210.026972,5522.212938,4283.302812,3913.309451,4595.456557,5441.186832,7326.389445,4234.460563,8891.569878,6702.490173,5366.410962,6223.896766,5100.966192,3126.986736,5509.358872,9935.070662,51159.83312
